,A,B,C,D
0,0.553702597324,4.57474631072,1.62532475372,8.52567824516
1,-0.329141902592,5.00002082635,2.64557819233,3.68792456845
2,-1.08544961084,5.65799649881,1.22998718618,7.02530180633
3,3.80713501492,7.90286225219,2.06241675956,8.38546833431
4,-3.54770056502,9.87349170613,2.01234895658,11.6944867344
5,1.65465306865,1.88722721172,2.21235925407,3.08206443475
6,7.07081799845,6.09297031344,1.32032757004,8.44845930275
7,0.0722210321074,8.5959116041,3.28970975492,11.1664407275
8,8.58601636608,0.0153327410486,1.29970160164,0.0405667352587
9,5.1827664379,2.02941478004,1.48456394714,2.02623948634
10,0.966774120762,3.13922933801,1.1316113663,5.92597142704
11,1.78283651639,6.17772344828,1.81418035404,8.50472808451
12,1.98604639016,4.24106145973,1.14102146621,6.82931929996
13,-5.51798454432,4.61006826563,2.80825486694,4.77190669443
14,0.253540301721,5.79541748593,2.76165382321,5.48583348818
15,0.225513286509,9.16285137945,1.83572834627,11.1201154252
16,9.15894175474,8.20215625687,3.19603090992,10.8846424736
17,7.49380002883,11.7146867911,1.53143234169,14.5376776502
18,2.85167501748,9.74396047735,2.55391735454,11.8004759519
19,5.38511272926,5.72676735862,1.50109982593,8.63144719054
20,-0.430444280642,6.47273117482,2.56107987706,8.99383554427
21,2.59566963084,4.3700938079,1.85639439742,6.5247660855
22,2.88725483624,8.50333825589,1.59430235793,10.6499251864
23,0.0848412123897,8.50192422317,2.63968760254,11.2826802948
24,6.82595941773,4.34813824728,1.44369103987,5.6861124114
25,1.37101956401,5.02094195427,1.99714313024,7.38800933964
26,-2.08270958404,3.69086073699,1.25497228075,6.03543127867
27,5.75362315744,9.10614181569,2.75646862321,11.6566780967
28,2.38691799936,1.63695710329,2.13903178938,1.73816793297
29,1.36046707261,3.0472887056,1.75213687361,2.49936394962
30,5.73692251848,9.28762977637,2.1829437578,12.8443448618
31,2.68249735993,1.79763002935,1.29310883482,2.81618199408
32,1.39784617423,8.13969650388,3.00214406423,11.4143474392
33,5.51975164929,2.11844826659,1.84924725795,1.43377966957
34,7.48382380505,2.78700814391,2.12796105319,2.08994129504
35,2.78408247354,5.59500037072,2.00679817721,6.6779541614
36,0.511948873927,2.71371667982,0.815473911259,3.45201930637
37,7.2601622683,2.79444206852,1.93888119147,4.13281294662
38,2.41591755464,4.09108408025,1.76874343078,5.91279792972
39,11.0176871907,5.74875765187,2.24301430748,5.13186805995
40,-1.2557360136,6.17904302179,2.17306820527,6.51697346852
41,2.70299095329,3.00172759515,1.95955572468,3.73284334031
42,4.93463308973,7.46933912762,2.25918837705,9.53171787957
43,0.416971493117,5.14723414622,2.00308863443,5.69842864884
44,-2.49685422023,4.45937012326,0.0144520964162,5.71882673543
45,4.04581012135,3.3558396407,2.04444701217,2.78121676004
46,2.01082591328,3.90394436849,2.02075143744,6.38484378184
47,1.76927251008,7.02717056286,2.56072637915,8.83451872726
48,6.90672584103,5.29109997564,1.30177266668,7.14814910098
